Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipExtensorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipExtensorMuscles.IsometricStrength.Output.Outputfile.Strength
 0.000000000000000e+000; 6.135452128552853e+001
 1.000000000000000e+001; 8.384728369721869e+001
 2.000000000000000e+001; 1.054644959616576e+002
 3.000000000000000e+001; 1.243474572817638e+002
 4.000000000000000e+001; 1.396881804781718e+002
 5.000000000000000e+001; 1.508039515454202e+002
 6.000000000000000e+001; 1.556242833676101e+002
 7.000000000000000e+001; 1.539352885646117e+002
 8.000000000000000e+001; 1.464233759639633e+002
 9.000000000000000e+001; 1.366778479739099e+002
 1.000000000000000e+002; 1.231663416507242e+002
