Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 0.000000000000000e+000; 5.669258362058164e+001
 1.000000000000000e+001; 4.812550795792251e+001
 2.000000000000000e+001; 3.829371047402229e+001
 3.000000000000000e+001; 2.883101257925463e+001
 4.000000000000000e+001; 2.125149551680588e+001
 5.000000000000000e+001; 1.620644095617876e+001
 6.000000000000000e+001; 1.353665457270295e+001
 7.000000000000000e+001; 1.191250542388110e+001
 8.000000000000000e+001; 1.069884796133379e+001
 9.000000000000000e+001; 9.680030673043842e+000
 1.000000000000000e+002; 8.473341945960145e+000
