Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.KneeExtensorMuscles.IsometricStrength.Output.KneeAngle.Val;Main.Studies.ParameterStudies.KneeExtensorMuscles.IsometricStrength.Output.Outputfile.Strength
 2.200000000000000e+001; 8.363959151860321e+001
 3.000000000000000e+001; 1.080437371533093e+002
 4.200000000000000e+001; 1.251174552058562e+002
 5.900000000000000e+001; 1.003858582954347e+002
 6.600000000000000e+001; 9.185836710297517e+001
 8.300000000000000e+001; 7.093615620575345e+001
 9.800000000000000e+001; 5.161264321794499e+001
