Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 5.000000000000000e+000; 6.513310706241170e+001
 1.400000000000000e+001; 5.440443621572920e+001
 2.500000000000000e+001; 4.159144739024534e+001
 3.300000000000000e+001; 3.320081495709576e+001
 5.000000000000000e+001; 2.137474583233712e+001
 6.100000000000000e+001; 2.112253374963505e+001
 7.200000000000000e+001; 1.932524812066937e+001
