Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipExtensorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipExtensorMuscles.IsometricStrength.Output.Outputfile.Strength
 5.000000000000000e+000; 8.743996394873713e+001
 1.800000000000000e+001; 1.099343749642009e+002
 2.500000000000000e+001; 1.197442756892227e+002
 3.700000000000000e+001; 1.308783114003966e+002
 4.400000000000000e+001; 1.335041673960621e+002
 5.700000000000000e+001; 1.359351789680875e+002
 7.200000000000000e+001; 1.287215039139582e+002
