Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.KneeFlexorMuscles.IsometricStrength.Output.KneeAngle.Val;Main.Studies.ParameterStudies.KneeFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 2.500000000000000e+001; 2.412063612183053e+001
 3.900000000000000e+001; 2.607940624179248e+001
 5.000000000000000e+001; 3.462515091913893e+001
 6.000000000000000e+001; 4.073156323153943e+001
 7.600000000000000e+001; 5.107995899346371e+001
 8.500000000000000e+001; 5.506838154646613e+001
 1.020000000000000e+002; 5.383263560541192e+001
