Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 0.000000000000000e+000; 1.226514561408776e+002
 1.000000000000000e+001; 1.025333153884140e+002
 2.000000000000000e+001; 8.147979338250852e+001
 3.000000000000000e+001; 6.215106141420863e+001
 4.000000000000000e+001; 4.596703061490980e+001
 5.000000000000000e+001; 3.641845181210538e+001
 6.000000000000000e+001; 3.567067866316953e+001
 7.000000000000000e+001; 3.178670804718420e+001
 8.000000000000000e+001; 3.779994440695757e+001
 9.000000000000000e+001; 4.564757245555062e+001
 1.000000000000000e+002; 5.232089542375801e+001
