Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 5.000000000000000e+000; 1.894857646501321e+002
 1.400000000000000e+001; 1.621855726258507e+002
 2.500000000000000e+001; 1.263013054189593e+002
 3.300000000000000e+001; 1.019338890862832e+002
 5.000000000000000e+001; 6.338050072188210e+001
 6.100000000000000e+001; 5.188514393410184e+001
 7.200000000000000e+001; 3.469293689365048e+001
