Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.KneeFlexorMuscles.IsometricStrength.Output.KneeAngle.Val;Main.Studies.ParameterStudies.KneeFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 2.500000000000000e+001; 2.625232363813978e+001
 3.900000000000000e+001; 2.772778834576882e+001
 5.000000000000000e+001; 4.585574397464105e+001
 6.000000000000000e+001; 5.379490781914593e+001
 7.600000000000000e+001; 6.706584312143066e+001
 8.500000000000000e+001; 7.258122134927413e+001
 1.020000000000000e+002; 7.281305091909758e+001
