Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.KneeExtensorMuscles.IsometricStrength.Output.KneeAngle.Val;Main.Studies.ParameterStudies.KneeExtensorMuscles.IsometricStrength.Output.Outputfile.Strength
 2.200000000000000e+001; 7.685627311656502e+001
 3.000000000000000e+001; 1.025346447403784e+002
 4.200000000000000e+001; 1.263311296894136e+002
 5.900000000000000e+001; 7.742566903573831e+001
 6.600000000000000e+001; 7.092415656247941e+001
 8.300000000000000e+001; 5.491845166946301e+001
 9.800000000000000e+001; 4.030846935867997e+001
