Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.KneeFlexorMuscles.IsometricStrength.Output.KneeAngle.Val;Main.Studies.ParameterStudies.KneeFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 2.500000000000000e+001; 4.368106933340528e+001
 3.900000000000000e+001; 4.280385053487714e+001
 5.000000000000000e+001; 6.092424928849133e+001
 6.000000000000000e+001; 6.870684560704989e+001
 7.600000000000000e+001; 8.186913688946596e+001
 8.500000000000000e+001; 8.699379645173984e+001
 1.020000000000000e+002; 8.528561344646424e+001
