Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 5.000000000000000e+000; 1.859135768998891e+002
 1.400000000000000e+001; 1.593527595750053e+002
 2.500000000000000e+001; 1.244116082917002e+002
 3.300000000000000e+001; 1.006180258164473e+002
 5.000000000000000e+001; 6.203627527055485e+001
 6.100000000000000e+001; 4.862341963441429e+001
 7.200000000000000e+001; 2.952031247161855e+001
