Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipExtensorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipExtensorMuscles.IsometricStrength.Output.Outputfile.Strength
 5.000000000000000e+000; 6.059666640619675e+001
 1.800000000000000e+001; 8.292579023856152e+001
 2.500000000000000e+001; 9.466421841296527e+001
 3.700000000000000e+001; 1.126096857125745e+002
 4.400000000000000e+001; 1.207823004410140e+002
 5.700000000000000e+001; 1.311844250353949e+002
 7.200000000000000e+001; 1.285336501068407e+002
