---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\LowerBody-Runner-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
9.138983050847452e-001 -1.398752444177640e-001 2.685443644080987e-001 6.672204639784496e-002 6.869183016587019e-001 -1.124623134652125e-001 -1.442433573077689e-001
9.168926553672311e-001 -1.532528337840879e-001 2.666932068859826e-001 6.790103650785373e-002 6.941234412947164e-001 -1.346714391275936e-001 -1.450860740885119e-001
9.198870056497169e-001 -1.649827980415035e-001 2.646168235828847e-001 6.917192506290164e-002 7.042249069616127e-001 -1.542872855308186e-001 -1.464798225631396e-001
9.228813559322028e-001 -1.750957708912819e-001 2.623610520475483e-001 7.058724154483222e-002 7.172533201440849e-001 -1.713718010714034e-001 -1.484059967065498e-001
9.258757062146886e-001 -1.836360596332343e-001 2.599663267734818e-001 7.219064369539378e-002 7.331993600961813e-001 -1.860415147303679e-001 -1.508057804076704e-001
9.288700564971745e-001 -1.906597089186557e-001 2.574677711872460e-001 7.401585202351960e-002 7.520161393186828e-001 -1.984602088853718e-001 -1.535838927284794e-001
9.318644067796603e-001 -1.962324603149616e-001 2.548953044279918e-001 7.608649064205288e-002 7.736223537414377e-001 -2.088303220000480e-001 -1.566142055638510e-001
9.348587570621462e-001 -2.004275680154930e-001 2.522737470544305e-001 7.841667265136426e-002 7.979061498330086e-001 -2.173834280971981e-001 -1.597468485138964e-001
9.378531073446320e-001 -2.033234305198077e-001 2.496229630387188e-001 8.101219995781080e-002 8.247296072591190e-001 -2.243703494001275e-001 -1.628162765025651e-001
9.408474576271179e-001 -2.050010454372291e-001 2.469580719010389e-001 8.387221755465393e-002 8.539336495473177e-001 -2.300514492752650e-001 -1.656496956811772e-001
9.438418079096037e-001 -2.055413346482617e-001 2.442897434839009e-001 8.699112565651479e-002 8.853431431087574e-001 -2.346875115769936e-001 -1.680753165252349e-001
9.468361581920896e-001 -2.050223702848807e-001 2.416245961033012e-001 9.036056899461244e-002 9.187719685978439e-001 -2.385314744382897e-001 -1.699300492541127e-001
9.498305084745754e-001 -2.035164931502714e-001 2.389657622702390e-001 9.397138478756562e-002 9.540279067969110e-001 -2.418212031341006e-001 -1.710663888973478e-001
9.528248587570612e-001 -2.010873437290864e-001 2.363137287662198e-001 9.781544642424905e-002 9.909172000793207e-001 -2.447734634429504e-001 -1.713583709592739e-001
9.558192090395471e-001 -1.977869411654729e-001 2.336675467957639e-001 1.018873628208007e-001 1.029248644799595e+000 -2.475792152778465e-001 -1.707066218825939e-001
9.588135593220329e-001 -1.936530763460367e-001 2.310264053441455e-001 1.061859351078223e-001 1.068837045140212e+000 -2.504002808235700e-001 -1.690425843005655e-001
9.618079096045188e-001 -1.887074072231472e-001 2.283913737639307e-001 1.107151704722632e-001 1.109505863638520e+000 -2.533673864490249e-001 -1.663318885037679e-001
9.648022598870046e-001 -1.829547304193439e-001 2.257669160751301e-001 1.154845388870733e-001 1.151089027080158e+000 -2.565795356109703e-001 -1.625759815235737e-001
9.677966101694905e-001 -1.763838641938687e-001 2.231616775553706e-001 1.205081401490523e-001 1.193431989581230e+000 -2.601046850270682e-001 -1.578102247024900e-001
9.707909604519763e-001 -1.689703840761115e-001 2.205881419648701e-001 1.258026114071029e-001 1.236391943991917e+000 -2.639816669462507e-001 -1.520990484664778e-001
9.737853107344622e-001 -1.606803175323080e-001 2.180615645449981e-001 1.313851981985554e-001 1.279837874162438e+000 -2.682233232757834e-001 -1.455251052283976e-001
9.767796610169480e-001 -1.514752043895792e-001 2.155979025793116e-001 1.372704940623038e-001 1.323648575478763e+000 -2.728201409160814e-001 -1.381886534627230e-001
9.797740112994339e-001 -1.413157703361189e-001 2.132125305572998e-001 1.434693452162966e-001 1.367711649686768e+000 -2.777443624009476e-001 -1.302005607222248e-001
9.827683615819197e-001 -1.301648162272771e-001 2.109193923181809e-001 1.499879986236637e-001 1.411922053695824e+000 -2.829543715996480e-001 -1.216796817978925e-001
9.857627118644056e-001 -1.179886795037857e-001 2.087310047023530e-001 1.568282197022803e-001 1.456181066612845e+000 -2.883992291688010e-001 -1.127491468403381e-001
9.887570621468914e-001 -1.047576199543280e-001 2.066590085174349e-001 1.639879213672795e-001 1.500395486404567e+000 -2.940226882399563e-001 -1.035328115020277e-001
9.917514124293773e-001 -9.044548304281318e-002 2.047148680902740e-001 1.714619337121674e-001 1.544477033031754e+000 -2.997661711124192e-001 -9.415228699138005e-002
9.947457627118631e-001 -7.502896112621880e-002 2.029104038885186e-001 1.792426742318697e-001 1.588341902405611e+000 -3.055708982098492e-001 -8.472443563920570e-002
9.977401129943490e-001 -5.848690775062904e-002 2.012576154725314e-001 1.873207021755460e-001 1.631910351893604e+000 -3.113797294580057e-001 -7.535788355094736e-002
1.000734463276835e+000 -4.079903543051090e-002 1.997702597843758e-001 1.956846960813431e-001 1.675106114852174e+000 -3.171374655874658e-001 -6.615656533657104e-002
1.003728813559321e+000 -2.194610566134033e-002 1.984615122910940e-001 2.043221665319219e-001 1.717856035329688e+000 -3.227928129410779e-001 -5.721005446852930e-002
1.006723163841807e+000 -1.909174765557701e-003 1.973448858920135e-001 2.132190458613680e-001 1.760089316447279e+000 -3.282973478197809e-001 -4.859859110996843e-002
