Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.AnkleAngle.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 2.500000000000000e+001; 1.375664040719969e+001
 2.000000000000000e+001; 1.881198299705302e+001
 1.500000000000000e+001; 2.441396079416290e+001
 5.000000000000000e+000; 3.476412789049256e+001
 0.000000000000000e+000; 3.778390532351426e+001
-5.000000000000000e+000; 3.840066496867151e+001
-1.000000000000000e+001; 3.639630370119111e+001
-1.500000000000000e+001; 3.212315525067356e+001
-2.000000000000000e+001; 2.652559662196900e+001
-2.500000000000000e+001; 2.062587574990820e+001
-3.000000000000000e+001; 1.524776163736340e+001
