Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.AnkleAngle.Val;Main.Studies.ParameterStudies.DorsiFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 2.500000000000000e+001; 7.409070949226780e+000
 2.000000000000000e+001; 1.097233617489356e+001
 1.500000000000000e+001; 1.547773684092820e+001
 5.000000000000000e+000; 2.679575881747353e+001
 0.000000000000000e+000; 3.282278306696872e+001
-5.000000000000000e+000; 3.827096996097701e+001
-1.000000000000000e+001; 4.234129500968360e+001
-1.500000000000000e+001; 4.433463500667730e+001
-2.000000000000000e+001; 4.392213779525513e+001
-2.500000000000000e+001; 4.119719707120426e+001
-3.000000000000000e+001; 3.660318495172773e+001
