Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.PlantarFlexorMuscles.IsometricStrength.Output.AnkleAngle.Val;Main.Studies.ParameterStudies.PlantarFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 3.000000000000000e+001; 9.616245131510658e+001
 2.500000000000000e+001; 1.086820350855082e+002
 2.000000000000000e+001; 1.190358404780105e+002
 1.500000000000000e+001; 1.215412221718326e+002
 1.000000000000000e+001; 1.189983117608133e+002
 5.000000000000000e+000; 1.118267401784342e+002
 0.000000000000000e+000; 9.899394657809795e+001
-5.000000000000000e+000; 8.428844611099969e+001
-1.000000000000000e+001; 6.922810138315944e+001
-1.500000000000000e+001; 5.501711114881234e+001
-2.000000000000000e+001; 4.240674713574843e+001
-2.500000000000000e+001; 3.169533634173238e+001
-3.000000000000000e+001; 2.287837585681670e+001
