Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipFlexorMuscles.IsometricStrength.Output.Outputfile.Strength
 0.000000000000000e+000; 4.452806113487750e+001
 1.000000000000000e+001; 4.681734383185854e+001
 2.000000000000000e+001; 5.002726271561797e+001
 3.000000000000000e+001; 5.544318975433771e+001
 4.000000000000000e+001; 5.982216680240264e+001
 5.000000000000000e+001; 5.895710231220426e+001
 6.000000000000000e+001; 5.866225485242408e+001
 7.000000000000000e+001; 5.419561066766168e+001
 8.000000000000000e+001; 5.006205131638937e+001
 9.000000000000000e+001; 4.389084072706108e+001
 1.000000000000000e+002; 4.683580824916261e+001
