Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipExtensorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipExtensorMuscles.IsometricStrength.Output.Outputfile.Strength
 0.000000000000000e+000; 6.583786927760794e+001
 1.000000000000000e+001; 9.215594644491250e+001
 2.000000000000000e+001; 1.151179347793372e+002
 3.000000000000000e+001; 1.199518321834264e+002
 4.000000000000000e+001; 1.077465185560235e+002
 5.000000000000000e+001; 9.032823881741211e+001
 6.000000000000000e+001; 7.703561577933182e+001
 7.000000000000000e+001; 6.947369222910784e+001
 8.000000000000000e+001; 7.242392977062481e+001
 9.000000000000000e+001; 7.918816899968680e+001
 1.000000000000000e+002; 8.063485349626360e+001
