Serie0;
AXIS0;OUTPUT
Main.Studies.ParameterStudies.HipExtensorMuscles.IsometricStrength.Output.HipAngle.Val;Main.Studies.ParameterStudies.HipExtensorMuscles.IsometricStrength.Output.Outputfile.Strength
 0.000000000000000e+000; 4.835467637270558e+001
 1.000000000000000e+001; 6.225388218811851e+001
 2.000000000000000e+001; 8.300258343761942e+001
 3.000000000000000e+001; 9.570974338954429e+001
 4.000000000000000e+001; 1.026671231899880e+002
 5.000000000000000e+001; 1.023680800972564e+002
 6.000000000000000e+001; 1.019888310489239e+002
 7.000000000000000e+001; 1.019383168649176e+002
 8.000000000000000e+001; 1.017860017291410e+002
 9.000000000000000e+001; 9.440535069072531e+001
 1.000000000000000e+002; 7.820594587791261e+001
